5713.0000 18.2991 329.0384 17.9676 333.2331	88.3871
5730.0000 21.3514 252.2332 20.9933 256.5054	104.1942
5731.0000 21.4948 298.4477 21.1047 303.0926	192.7230
5740.0000 16.0744 108.3568 15.7638 112.5037	110.6456
5759.0000 -18.8217 60.3367 -19.1607 56.1218	79.4847
5793.0000 -14.9099 69.7992 -15.2886 64.6266	265.6910
5796.0000 -6.5689 13.9730 -6.8618 8.1361	370.2302
5830.0000 13.5690 316.1230 13.0774 323.2168	552.2562
5854.0000 -20.1531 338.6711 -20.5039 334.4217	107.9370
5865.0000 -7.6818 181.5924 -7.8991 177.5611	54.3493
5871.0000 18.6411 329.1174 18.3065 333.3199	55.0496
5875.0000 12.4294 299.1705 12.1563 303.2548	55.0496
5935.0000 -10.1444 70.9707 -10.4040 66.7504	174.5628
5938.0000 2.4130 149.7251 2.2935 153.7267	106.7145
5939.0000 -12.7945 119.0184 -13.0744 114.9243	88.3916
5944.0000 6.9205 58.6939 6.6441 64.1761	321.4081
5946.0000 -9.9742 35.7332 -10.2618 31.0241	224.1790
5947.0000 17.7915 219.5191 17.4646 223.7022	148.0624
5952.0000 -11.0831 360.8840 -11.3438 356.8149	77.5993
5954.0000 -6.9418 187.1513 -7.1591 182.9220	178.6296
5960.0000 -21.1624 86.4489 -21.5218 82.1717	107.8874
5965.0000 21.7872 302.1192 21.3412 307.4070	257.3580
5981.0000 13.0228 248.5612 12.7434 252.6545	108.0769
5984.0000 -21.9475 268.8073 -22.3136 264.5072	76.4472
5992.0000 -18.7734 53.8550 -19.1121 49.6413	137.4004
5992.0000 15.4624 324.8393 14.9680 331.5700	480.6890
5997.0000 -11.2612 99.9688 -11.6140 94.5135	309.3015
6003.0000 17.8313 79.3147 17.3350 85.6745	411.5562
6005.0000 -12.3743 350.6903 -12.6497 346.6027	82.6013
6005.0000 -8.5023 291.1865 -8.7309 287.1474	54.3493
6011.0000 15.1939 281.2444 14.8921 285.3744	55.0496
6016.0000 14.7632 256.5061 14.3871 261.7229	272.2405
6027.0000 -10.0294 124.9431 -10.2774 120.8873	69.2947
6028.0000 22.3540 200.9678 21.7670 207.8717	465.9605
6035.0000 14.0884 133.8477 13.7977 137.9583	55.0496
6041.0000 20.4993 122.8258 19.8437 130.7891	666.6045
6043.0000 13.9483 218.4715 13.6591 222.5798	115.2153
6049.0000 -9.0969 106.2610 -9.4182 100.7745	317.9451
6049.0000 19.5546 297.0314 19.1734 301.7347	203.8225
6063.0000 -4.8221 294.8414 -5.0333 289.9411	251.3986
6067.0000 -3.4532 19.4505 -3.5995 15.4456	80.6245
6076.0000 10.6368 127.6942 10.3846 131.7545	67.2199
6079.0000 -12.2736 103.3669 -12.5478 99.2808	102.0409
